Date, Type, Description, Value, Balance, Account Name, Account Number
,,,,,,
03/03/2017,BAC,'ZZZSpecialDescription001,200.12,4631.72,'Envelope,228822-99933422
04/03/2017,BAC,ZZZSpecialDescription007,261.4,4273.63,'Envelope,228822-99933422
05/03/2017,BAC,'ZZZThing,350,5281.02,'Envelope,228822-99933422
06/03/2017,POS,'DIVIDE YOUR GREEN,-24.99,4724.01,'Envelope,228822-99933422
06/03/2017,DPC,Description047,-550,3723.63,'Envelope,228822-99933422
06/03/2017,POS,Description002,-87.35,3636.28,'Envelope,228822-99933422
06/03/2017,POS,Description004,-5,3631.28,'Envelope,228822-99933422
06/03/2017,POS,Description002,-86.85,3544.43,'Envelope,228822-99933422
06/03/2017,S/O,Description012,-5,3539.43,'Envelope,228822-99933422
06/03/2017,POS,Description025,-13.36,3526.07,'Envelope,228822-99933422
06/03/2017,POS,Description040,-40,3486.07,'Envelope,228822-99933422
03/04/2017,POS,Description021,-13.14,4503.93,'Envelope,228822-99933422
06/03/2017,POS,Description041,-51.02,3435.05,'Envelope,228822-99933422
06/03/2017,POS,Description026,-20.21,3414.84,'Envelope,228822-99933422
08/03/2017,POS,Description032,-7.7,3407.14,'Envelope,228822-99933422
10/03/2017,POS,Description005,-5.9,3401.24,'Envelope,228822-99933422
10/03/2017,POS,Description023,-40,3361.24,'Envelope,228822-99933422
13/03/2017,POS,Description005,-15.3,3345.94,'Envelope,228822-99933422
13/03/2017,S/O,Description016,-95,3250.94,'Envelope,228822-99933422
13/03/2017,POS,Description020,-25.99,3224.95,'Envelope,228822-99933422
14/03/2017,BAC,ZZZSpecialDescription009,11.1,3236.05,'Envelope,228822-99933422
14/03/2017,BAC,ZZZSpecialDescription009,11.1,3247.15,'Envelope,228822-99933422
14/03/2017,POS,Description048,-83.21,3163.94,'Envelope,228822-99933422
14/03/2017,POS,Description029,-1658.34,1505.6,'Envelope,228822-99933422
16/03/2017,C/L,Description038,-100,1405.6,'Envelope,228822-99933422
17/03/2017,POS,Description034,-238.28,1167.32,'Envelope,228822-99933422
17/03/2017,POS,Description034,-37.55,1129.77,'Envelope,228822-99933422
20/03/2017,CHQ,Description001,-77,1052.77,'Envelope,228822-99933422
20/03/2017,POS,Description015,-124,928.77,'Envelope,228822-99933422
22/03/2017,C/L,Description013,-200,728.77,'Envelope,228822-99933422
23/03/2017,POS,Description020,-48.67,680.1,'Envelope,228822-99933422
24/03/2017,BAC,ZZZSpecialDescription010,143.27,823.37,'Envelope,228822-99933422
24/03/2017,BAC,ZZZSpecialDescription011,174.2,4805.92,'Envelope,228822-99933422
24/03/2017,BAC,ZZZSpecialDescription009,15,4820.92,'Envelope,228822-99933422
24/03/2017,BAC,ZZZSpecialDescription009,15,4835.92,'Envelope,228822-99933422
24/03/2017,POS,Description006,-4.4,4831.52,'Envelope,228822-99933422
27/03/2017,POS,Description007,-3.7,4827.82,'Envelope,228822-99933422
27/03/2017,POS,Description009,-5.7,4822.12,'Envelope,228822-99933422
27/03/2017,POS,Description008,-5.4,4816.72,'Envelope,228822-99933422
27/03/2017,POS,Description022,-50,4766.72,'Envelope,228822-99933422
30/03/2017,POS,Description018,-12.3,4754.42,'Envelope,228822-99933422
31/03/2017,BAC,Description024,13,4767.42,'Envelope,228822-99933422
31/03/2017,BAC,Description030,13,4780.42,'Envelope,228822-99933422
31/03/2017,BAC,Description037,13,4793.42,'Envelope,228822-99933422
03/04/2017,BAC,Description010,261.4,4931.02,'Envelope,228822-99933422
03/04/2017,DPC,Description046,-400,4881.02,'Envelope,228822-99933422
03/04/2017,S/O,Description033,-50,4831.02,'Envelope,228822-99933422
03/04/2017,S/O,Description039,-100,4731.02,'Envelope,228822-99933422
03/04/2017,POS,Description031,-13.95,4717.07,'Envelope,228822-99933422
03/04/2017,C/L,Description035,-200,4517.07,'Envelope,228822-99933422
03/04/2017,POS,Description017,-35.24,4468.69,'Envelope,228822-99933422
03/04/2017,POS,Description019,-12.68,4456.01,'Envelope,228822-99933422
03/04/2017,POS,Description045,-65.23,4390.78,'Envelope,228822-99933422
03/04/2017,POS,Description036,-39.27,4351.51,'Envelope,228822-99933422
03/04/2017,POS,Description044,-12.12,4339.39,'Envelope,228822-99933422
03/04/2017,POS,Description014,-28.41,4310.98,'Envelope,228822-99933422
04/04/2017,IBP,ZZZSpecialDescription015,442,4752.98,'Envelope,228822-99933422
04/04/2017,POS,'DIVIDE YOUR GREEN,-1.99,4750.99,'Envelope,228822-99933422
04/04/2017,POS,'DIVIDE YOUR GREEN,-1.99,4749,'Envelope,228822-99933422
04/04/2017,POS,Description042,-57.32,4666.69,'Envelope,228822-99933422
05/04/2017,BAC,Description027,13,4679.69,'Envelope,228822-99933422
05/04/2017,S/O,Description011,-5,4674.69,'Envelope,228822-99933422
05/04/2017,POS,Description043,-10,4664.69,'Envelope,228822-99933422
06/04/2017,POS,Description003,-5,4659.69,'Envelope,228822-99933422
06/04/2017,POS,Description026,-20.21,4639.48,'Envelope,228822-99933422
07/04/2017,BAC,ZZZSpecialDescription011,30,4669.48,'Envelope,228822-99933422
07/04/2017,POS,Description028,-115.3,4554.18,'Envelope,228822-99933422
